HATE_SPEECH,COUNTER_NARRATIVE,TARGET
"Took this in Wanstead, east London. An area with 1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist. (Caption to a photo of a homeless person sleeping on a part bench)","There are so many empty homes in our country that we could house every single homeless person, without the need to build a single apartment. It is the government that chooses not to. Homelessness is about wealth inequality not migration. If you genuinely care about poverty you need to question power structures and wealth distribution.",MIGRANTS
Their power to have movies banned and directors censured is proof that the Jews control Hollywood.,"The ultra rich people in this industry have the power to censure and influence, regardless of their religion.",JEWS
Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.,"We are all to blame here. What we really need is to work hand in hand to create sustainable change, rather than pointing fingers at others.",other
Their power to have movies banned and directors censured is proof that the Jews control Hollywood.,"Not sure how Jewish people could ""control"" Hollywood being a minority.",JEWS
The feminists have won. With so many women being unwilling to procreate we will be replaced and lose out civilisation.,"Feminism is first and foremost a battle for the equal rights of ALL sexes, so a fight for this has nothing to do with procreation and civilisation.",WOMEN
"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.","Patriarchy is a curse: since they are young, men are told to be tough and strong, to bear all the burdens while being emotionless. This has led to higher levels of suicide amongst men. I don't see this as an indicator of a ""great civilization"".",WOMEN
The Nazis sucked at killing Jews everywhere you look theres a holocaust survivor.,If you think that the murder of around 6 million Jews was a failure you have serious problems. It is still 6 million more than should ever have happened.,JEWS
"The Holocaust is a business. It has been and is still used to extort millions from European countries in reparations and to create a wall of impunity behind which Jews can operate with impunity, free from criticism.","The Jews suffered horribly during WWII, as did many other groups. Reparation is just a simple way to enable survivors to rebuild their lives. It is also a small step toward regaining our humanity.",JEWS
The Nazis sucked at killing Jews everywhere you look theres a holocaust survivor.,"The holocaust was hugely tragic, and we are blessed to have survivors to teach us what pure evil is. So not to make the same mistakes over and over again.",JEWS
"UK Education Secretary: All children from the age of 4 will have mandatory lessons on same sex relationships.  This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.","If this 'indoctrination' is about teaching children that there many ways to be happy, and that their feelings count, then this is something I totally agree with.",LGBT+
"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.","Then you probably have never heard of Rosa Parks, Emmeline Pankhurst or Florence Nightingale, all women with a very strong personalities.",WOMEN
"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",This reasoning is the equivalent of the stigma around men showing emotions and as equally unhelpful.,WOMEN
"UK Education Secretary: All children from the age of 4 will have mandatory lessons on same sex relationships.  This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.","If the point of education is to learn about the world and inform people about things that happen in nature, then same sex relationship is one of these things to be informed about, since it happens within many species of animals...",LGBT+
Since when has abusing the anus as a sex organ been a monumental achievement? THIS IS STATE ENFORCED HOMOSEXUALITY! Maybe we should change our motto to In Usury and Sodomy we trust (In reply to Botswana decriminalising homosexuality),Respecting people with different habits that do not harm anyone is a monumental achievement indeed!,LGBT+
